,id,review,author,start,end,product_name
33,RUPFVF7JT11IO,Wow i am amazed with the quality. The sound is so loud and clear. This is definitely worth buying. I was searching for mp3 player specifically to use for the gym and I am so impressed with this device. Sleek small compact strong sturdy metal player that sounds awesome. I am happy with my purchase :),Catherine Montesdeoca,2020-09-15 04:56:54.273264,2020-09-15 04:56:54.329160,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
34,R214F4CB12RBYH,"service très rapide, facile à utiliser
bien démontré,
bon son pour le prix
et excellent service
reçu en 3 jours

merci",Client d'Amazon,2020-09-15 04:56:54.334178,2020-09-15 04:56:54.386250,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
35,R1Q9UNW5C6LG7F,je laime bien je men sert tous les jours et je suis tres satisfait ...je le recommande ....,Nancy,2020-09-15 04:56:54.390884,2020-09-15 04:56:54.440279,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
36,R1H92CHJYPIYLX,very nice and solide superb sound,bruno masse,2020-09-15 04:56:54.445267,2020-09-15 04:56:54.494077,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
37,R1FDOKU47T1ENU,I use the to cut the grass and shovel snow very pleased with this,Crystal S.,2020-09-15 04:56:54.498468,2020-09-15 04:56:54.555433,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
38,R1SD0WPXFJ3D0U,this is a great small device i walk to work and back with and at home its slow to connect but dose connect to my bluetooth speaker . im very satisfied !,Katlyn,2020-09-15 04:56:54.560442,2020-09-15 04:56:54.608397,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
39,R2B1E78WB821SV,hi this mp3 player is very good but i have a problem downloading videos,Kevin Leblanc,2020-09-15 04:56:54.613760,2020-09-15 04:56:54.670196,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
40,R288SVDISZYKGP,"Works really well , easy to use.",Andrea l,2020-09-15 04:56:56.748780,2020-09-15 04:56:56.811163,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
41,R3P7BD3ZM47IAK,This is a great MP3 Player! Compact and comes with all the features I needed. Easy to use and touch sensitive. Connects to the radio and works with Bluetooth.,Matthew,2020-09-15 04:56:56.816151,2020-09-15 04:56:56.864070,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
42,R3EBRBJQ61P37W,"I bought this for my 10 year old grandson and so far it's been great! Very durable for a youth. It's easy to upload the music, fast and the sound quality is pretty good too.",Evelyn MAYHEW,2020-09-15 04:56:56.869027,2020-09-15 04:56:56.917900,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
43,RUPFVF7JT11IO,Wow i am amazed with the quality. The sound is so loud and clear. This is definitely worth buying. I was searching for mp3 player specifically to use for the gym and I am so impressed with this device. Sleek small compact strong sturdy metal player that sounds awesome. I am happy with my purchase :),Catherine Montesdeoca,2020-09-15 04:56:56.922904,2020-09-15 04:56:56.970453,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
44,R214F4CB12RBYH,"service très rapide, facile à utiliser
bien démontré,
bon son pour le prix
et excellent service
reçu en 3 jours

merci",Client d'Amazon,2020-09-15 04:56:56.975440,2020-09-15 04:56:57.028716,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
45,R1Q9UNW5C6LG7F,je laime bien je men sert tous les jours et je suis tres satisfait ...je le recommande ....,Nancy,2020-09-15 04:56:57.033702,2020-09-15 04:56:57.085593,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
46,R1H92CHJYPIYLX,very nice and solide superb sound,bruno masse,2020-09-15 04:56:57.090581,2020-09-15 04:56:57.140990,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
47,R1FDOKU47T1ENU,I use the to cut the grass and shovel snow very pleased with this,Crystal S.,2020-09-15 04:56:57.145621,2020-09-15 04:56:57.253332,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
48,R1SD0WPXFJ3D0U,this is a great small device i walk to work and back with and at home its slow to connect but dose connect to my bluetooth speaker . im very satisfied !,Katlyn,2020-09-15 04:56:57.259317,2020-09-15 04:56:57.307910,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
49,R2B1E78WB821SV,hi this mp3 player is very good but i have a problem downloading videos,Kevin Leblanc,2020-09-15 04:56:57.312404,2020-09-15 04:56:57.360390,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
50,R288SVDISZYKGP,"Works really well , easy to use.",Andrea l,2020-09-15 04:57:02.458506,2020-09-15 04:57:02.533341,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
51,R3P7BD3ZM47IAK,This is a great MP3 Player! Compact and comes with all the features I needed. Easy to use and touch sensitive. Connects to the radio and works with Bluetooth.,Matthew,2020-09-15 04:57:02.536911,2020-09-15 04:57:02.572192,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
52,R3EBRBJQ61P37W,"I bought this for my 10 year old grandson and so far it's been great! Very durable for a youth. It's easy to upload the music, fast and the sound quality is pretty good too.",Evelyn MAYHEW,2020-09-15 04:57:02.577179,2020-09-15 04:57:02.613088,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
53,RUPFVF7JT11IO,Wow i am amazed with the quality. The sound is so loud and clear. This is definitely worth buying. I was searching for mp3 player specifically to use for the gym and I am so impressed with this device. Sleek small compact strong sturdy metal player that sounds awesome. I am happy with my purchase :),Catherine Montesdeoca,2020-09-15 04:57:02.617081,2020-09-15 04:57:02.652833,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
54,R214F4CB12RBYH,"service très rapide, facile à utiliser
bien démontré,
bon son pour le prix
et excellent service
reçu en 3 jours

merci",Client d'Amazon,2020-09-15 04:57:02.657819,2020-09-15 04:57:02.692977,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
55,R1Q9UNW5C6LG7F,je laime bien je men sert tous les jours et je suis tres satisfait ...je le recommande ....,Nancy,2020-09-15 04:57:02.697988,2020-09-15 04:57:02.733339,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
56,R1H92CHJYPIYLX,very nice and solide superb sound,bruno masse,2020-09-15 04:57:02.738325,2020-09-15 04:57:02.775981,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
57,R1FDOKU47T1ENU,I use the to cut the grass and shovel snow very pleased with this,Crystal S.,2020-09-15 04:57:02.780969,2020-09-15 04:57:02.817889,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
58,R1SD0WPXFJ3D0U,this is a great small device i walk to work and back with and at home its slow to connect but dose connect to my bluetooth speaker . im very satisfied !,Katlyn,2020-09-15 04:57:02.822875,2020-09-15 04:57:02.858938,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
59,R2B1E78WB821SV,hi this mp3 player is very good but i have a problem downloading videos,Kevin Leblanc,2020-09-15 04:57:02.863959,2020-09-15 04:57:02.899763,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
60,R18G1A2KTFRVLD,Needed a cheap MP3 Player. Got a cheap MP3 player. No issues so far - which is fantastic when you are buying cheap.,Calgary Cane User,2020-09-15 04:57:07.035371,2020-09-15 04:57:07.091976,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
61,R79XYQFO8SNY3,Its exactly what I expected. Happy with it so far.,Amazon Customer,2020-09-15 04:57:07.096661,2020-09-15 04:57:07.146974,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
62,R24BNTDVGEB0B9,"I've owned a few mp3 players over the years. I've had this player for two days and tested its capabilities.
Cons:
- No matter what headphones I use, I lose the Bluetooth connection as soon as I turn a corner. I bought this especially for the Bluetooth feature so that was a surprise.
- It has an awkward, unintuitive interface. Navigation isn't easy. The font used makes the player appear really cheap.
- The player could not count past 4,000 songs from my memory card. However, it appears to accurately count everything below 4,000.
- No lock button/feature. However, when the screen turns off, the navigation buttons don't work but the volume buttons still work.
- There's no way to find a song/artist/album quickly.
- I couldn't find any EQ feature/functionality.
- It does not allow viewing of photos while playing music simultaneously.
- Shuffle play repeats songs before playing every song. A bit annoying.
Pros:
- Solid metal casing. The little player doesn't feel like it's going to fall apart. There's definitely a reassuring heft to it.
- After at least 2 - 3 hours of using Bluetooth, the battery indicator showed full.
- The sound was surprisingly good, perhaps better than my 6-month-old smartphone.
- It accepted my 32GB memory card and read the contents in only 2 - 3 minutes (too bad it can't count past 4,000).
- While music plays, album art is shown in low def. Song information (artist, title, album) scrolls slowly by.
- The tiny speaker works. It doesn't sound great but the volume can be increased, accordingly. Not great for music but may be good for audiobooks.

I tried not to compare it to any of my previous and current players (ranging from an old USB-style player to a high-end player). I wanted an inexpensive Bluetooth player for my commute which would save my phone's battery. I wasn't expecting a high-def sound or a great interface. Unfortunately, there were too many unpleasant surprises (Bluetooth connectivity chief among them) to outweigh the pleasant surprises such as the better than expected sound. I didn't want to spend more money but it looks like I'll have to do so. I returned this player and will be spending more money on another Bluetooth player on amazon that supposedly has better Bluetooth connectivity.",Burnaby Customer,2020-09-15 04:57:07.151960,2020-09-15 04:57:07.202595,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
63,RXXHVW5SILVH0,"liked the reasonable the price and long battery life. Dislikes the Bluetooth. Haven't managed to connect to any PC or laptop at home (windows 10). Ultra-sensitive touch screen - you put it in your shirt pocket and it stops playing or switches the selection. No lock button. The internal speakers are awful, as the accompanying headset. The user interface is not great, and the font is bad.",verified customer,2020-09-15 04:57:07.207582,2020-09-15 04:57:07.259857,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
64,R1Q1O5WXA135X8,"I was looking for something to replace my Sony Walkman MP3 player, without paying $200. I love this one. It;s easy to use, you can up the capacity, it reads all sorts of music formats, videos and even ebooks. It is good looking, user friendly and I am totally satisfied with my purchase. Earphones are so-so, but I wanted it to hook up to my sound bar. We have music in the house again!",Kindle Customer,2020-09-15 04:57:07.264846,2020-09-15 04:57:07.315486,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
65,RL9HRRID0C5TQ,"I didn't like the shipping I guess. It had a weird blue hue on the screen and when you turn it, to we if it's a glare or not, it was a scratch. Now I know why I can't see anything on the screen. I got music on there, but have no clue what's going on. I didn't even know I could read anything on the screen until I came back on here to figure out what I'm doing wrong. So yeah, I guess it's a cool doo hivkey, just change your handling and shipping. Maybe better packaging ? I don't know, I know I prob won't bother again.",chris seddon,2020-09-15 04:57:07.320471,2020-09-15 04:57:07.370501,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
66,R187P793PXN27J,"Very poor quality, and the speaker on it is the worst. Don't buy this product! I will be returning this.",Robin Dagenais,2020-09-15 04:57:07.375482,2020-09-15 04:57:07.424197,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
67,R23IVQGG9F69BH,Super pratique je l'aime beaucoup. Au dépatt je ne savais pas comment activer le bluetooth avec mes écouteurs mais il faut que mes écouteurs ne soit pas associé a un autre appareils pour cela fonctionne.,jonathan cote gingras,2020-09-15 04:57:07.429410,2020-09-15 04:57:07.477187,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
68,R37NQ7FC2OVOEX,"power button in the white switch broke rendering this thing useless
problem? this thing doesn't always respond to powering off, having you to repeatedly press the power button. Obviously , the button couldn't handle the stress.
So 2 problems
1. Device doesn't always respond to pressing the power button
2. weak power button",heatsealer,2020-09-15 04:57:07.482172,2020-09-15 04:57:07.532416,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
69,R83YRT3N7WD0E,"Great for our young daughter she loves her music and this has all the features as an expensive mp3 player, battery life isnt the best but sti good value for what you pay.",Mike,2020-09-15 04:57:07.537416,2020-09-15 04:57:07.592186,"Mp3 Player, Bluetooth 5.0Mp3 Player, FM Radio, 8GB Mp3 Player, Walking Step-by-Step Portable Music Player, Recorder, e-Book Video Support up to 128GB"
